group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
delayed,170,143,150,190,219,209,97,103,178,210
cancelled,86,73,74,97,100,104,106,109,164,183
ontime,666,679,700,708,733,741,739,755,740,677
