Alaska Airlines Inc.,2011,15615,966,372,126773
Alaska Airlines Inc.,2012,16779,1197,441,129152
Alaska Airlines Inc.,2013,18796,704,362,134881
Alaska Airlines Inc.,2014,20975,759,443,138080
Alaska Airlines Inc.,2015,22352,669,413,149087
Alaska Airlines Inc.,2016,21196,815,452,154817
Alaska Airlines Inc.,2017,30276,1508,504,152780
Alaska Airlines Inc.,2018,40272,2207,575,202707
Alaska Airlines Inc.,2019,48359,3077,724,212656
Alaska Airlines Inc.,2020,15181,5480,279,117285
