group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
delayed,118,154,130,143,145,121,168,110,103,154
cancelled,61,79,62,71,73,61,64,55,55,109
ontime,343,459,450,432,445,472,491,503,504,374
